"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","wValue","Info"
"41","127.081621000","host","7.0","USB","65","01","0x7f92","URB_CONTROL out"
"43","127.086167000","host","7.0","USB","65","01","0xe600","URB_CONTROL out"
"45","127.090491000","host","7.0","USB","65","01","0x7f92","URB_CONTROL out"
"47","127.094907000","host","7.0","USB","65","01","0xe600","URB_CONTROL out"
"49","127.099241000","host","7.0","USB","80","90e668e0ff74fff0e0b40b04eff0d322","0x0368","URB_CONTROL out"
"51","127.105761000","host","7.0","USB","70","90e668eff0c3","0x0378","URB_CONTROL out"
"53","127.109331000","host","7.0","USB","65","22","0x037e","URB_CONTROL out"
"55","127.113853000","host","7.0","USB","80","907fe9e064a360030202c5a3e0750800","0x01b5","URB_CONTROL out"
"57","127.118253000","host","7.0","USB","80","f509a3e0fee4ee4208907feee0750a00","0x01c5","URB_CONTROL out"
"59","127.122629000","host","7.0","USB","80","f50ba3e0fee4ee420a907fe8e0644070","0x01d5","URB_CONTROL out"
"61","127.126999000","host","7.0","USB","80","64e50b450a70030202d6e4907fc5f090","0x01e5","URB_CONTROL out"
"63","127.131362000","host","7.0","USB","80","7fb4e020e3f9907fc5e0750c00f50de4","0x01f5","URB_CONTROL out"
"65","127.135750000","host","7.0","USB","80","fcfdc3ed950dec950c501f74c02df582","0x0205","URB_CONTROL out"
"67","127.140116000","host","7.0","USB","80","e4347ef583e0ffe5092df582e5083cf5","0x0215","URB_CONTROL out"
"69","127.144530000","host","7.0","USB","80","83eff00dbd00010c80d8e50d2509f509","0x0225","URB_CONTROL out"
"71","127.148869000","host","7.0","USB","80","e50c3508f508c3e50b950df50be50a95","0x0235","URB_CONTROL out"
"73","127.153273000","host","7.0","USB","80","0cf50a809c907fe8e064c060030202d6","0x0245","URB_CONTROL out"
"75","127.157667000","host","7.0","USB","80","e50b450a607bc3e50b9440e50a940050","0x0255","URB_CONTROL out"
"77","127.162097000","host","7.0","USB","80","08850a0c850b0d8006750c00750d40e4","0x0265","URB_CONTROL out"
"79","127.166519000","host","7.0","USB","80","fcfdc3ed950dec950c501fe5092df582","0x0275","URB_CONTROL out"
"81","127.170858000","host","7.0","USB","80","e5083cf583e0ff74002df582e4347ff5","0x0285","URB_CONTROL out"
"83","127.175300000","host","7.0","USB","80","83eff00dbd00010c80d8907fb5e50df0","0x0295","URB_CONTROL out"
"85","127.179752000","host","7.0","USB","80","2509f509e50c3508f508c3e50b950df5","0x02a5","URB_CONTROL out"
"87","127.184175000","host","7.0","USB","80","0be50a950cf50a907fb4e030e29280f7","0x02b5","URB_CONTROL out"
"89","127.188624000","host","7.0","USB","80","907fe9e0b4ac0ae4907f00f0907fb504","0x02c5","URB_CONTROL out"
"91","127.193003000","host","7.0","USB","72","f0907fb4e04402f0","0x02d5","URB_CONTROL out"
"93","127.197557000","host","7.0","USB","65","22","0x02dd","URB_CONTROL out"
"95","127.202020000","host","7.0","USB","80","90e6b9e064a36003020198a3e0750800","0x0080","URB_CONTROL out"
"97","127.206371000","host","7.0","USB","80","f509a3e0fee4ee420890e6bee0750a00","0x0090","URB_CONTROL out"
"99","127.210830000","host","7.0","USB","80","f50ba3e0fee4ee420a90e6b8e0644070","0x00a0","URB_CONTROL out"
"101","127.215271000","host","7.0","USB","80","66e50b450a70030201ade490e68af0a3","0x00b0","URB_CONTROL out"
"103","127.219620000","host","7.0","USB","80","f090e6a0e020e1f990e68be0750c00f5","0x00c0","URB_CONTROL out"
"105","127.224132000","host","7.0","USB","80","0de4fcfdc3ed950dec950c501f74402d","0x00d0","URB_CONTROL out"
"107","127.228493000","host","7.0","USB","80","f582e434e7f583e0ffe5092df582e508","0x00e0","URB_CONTROL out"
"109","127.232870000","host","7.0","USB","80","3cf583eff00dbd00010c80d8e50d2509","0x00f0","URB_CONTROL out"
"111","127.237257000","host","7.0","USB","80","f509e50c3508f508c3e50b950df50be5","0x0100","URB_CONTROL out"
"113","127.241636000","host","7.0","USB","80","0a950cf50a809a90e6b8e064c0600302","0x0110","URB_CONTROL out"
"115","127.246143000","host","7.0","USB","80","01ade50b450a70030201adc3e50b9440","0x0120","URB_CONTROL out"
"117","127.250493000","host","7.0","USB","80","e50a94005008850a0c850b0d8006750c","0x0130","URB_CONTROL out"
"119","127.254883000","host","7.0","USB","80","00750d40e4fcfdc3ed950dec950c501f","0x0140","URB_CONTROL out"
"121","127.259232000","host","7.0","USB","80","e5092df582e5083cf583e0ff74402df5","0x0150","URB_CONTROL out"
"123","127.271215000","host","7.0","USB","80","82e434e7f583eff00dbd00010c80d8e4","0x0160","URB_CONTROL out"
"125","127.275401000","host","7.0","USB","80","90e68af0a3e50df02509f509e50c3508","0x0170","URB_CONTROL out"
"127","127.279871000","host","7.0","USB","80","f508c3e50b950df50be50a950cf50a90","0x0180","URB_CONTROL out"
"129","127.284245000","host","7.0","USB","80","e6a0e030e18c80f790e6b9e0b4ac0e90","0x0190","URB_CONTROL out"
"131","127.288635000","host","7.0","USB","80","e7407401f0e490e68af0a304f090e6a0","0x01a0","URB_CONTROL out"
"133","127.292997000","host","7.0","USB","68","e04480f0","0x01b0","URB_CONTROL out"
"135","127.297367000","host","7.0","USB","65","22","0x01b4","URB_CONTROL out"
